id,x,y,diameter,orientation_x,orientation_y,orientation_z
292,-23.2648,-46.0549,0.0813,0.0138,-0.069,0.9975
293,-33.5278,-40.1654,0.0628,-0.0699,-0.0008,0.9976
294,-29.4442,-38.1413,0.0746,0.5429,0.1372,0.8285
295,-30.6226,-41.8093,0.0717,0.034,-0.0045,0.9994
296,-34.046,-33.5504,0.0505,0.0091,-0.0216,0.9997
297,-34.0086,-37.1059,0.0442,-0.012,-0.0137,0.9998
298,-26.1467,-44.4083,0.0896,-0.0374,0.1003,0.9943
299,-23.4812,-46.3988,0.0944,-0.0118,-0.1017,0.9947
300,-22.3513,-46.5883,0.0831,-0.025,-0.0747,0.9969
301,-34.4354,-39.641,0.0538,-0.0017,0.0116,0.9999
302,-34.6712,-39.9889,0.0554,-0.0272,-0.04,0.9988
303,-33.7588,-40.5241,0.0584,-0.0605,-0.0355,0.9975
304,-32.7532,-41.2282,0.059,0.0454,-0.0072,0.9989
305,-31.7586,-41.6165,0.0792,-0.0441,-0.0761,0.9961
306,-32.7875,-45.0934,0.0684,0.001,-0.0375,0.9993
307,-31.8805,-45.6169,0.0748,0.0367,-0.0424,0.9984
308,-30.1409,-46.6222,0.074,-0.0406,-0.0266,0.9988
309,-29.2178,-47.1513,0.0766,-0.0721,-0.0139,0.9973
310,-28.3231,-47.6817,0.0756,-0.0068,-0.0149,0.9999
311,-27.0137,-47.906,0.0676,-0.0147,-0.071,0.9974
312,-22.5783,-46.9723,0.0756,-0.0186,-0.0566,0.9982
313,-35.3565,-39.117,0.0476,0.0601,-0.0338,0.9976
314,-35.5855,-39.4818,0.0487,-0.0604,-0.0676,0.9959
315,-33.7186,-44.567,0.0642,0.0282,-0.047,0.9985
316,-26.3567,-48.7707,0.1144,0.1014,-0.0288,0.9944
317,-34.4123,-43.7249,0.0631,0.0176,-0.0612,0.998
318,-25.4131,-49.3364,0.0806,0.0017,-0.0749,0.9972
319,-33.2955,-47.7373,0.0748,0.0782,-0.0118,0.9969
320,-30.5939,-49.2294,0.0779,0.0258,0.0517,0.9983
321,-25.9041,-48.476,0.1165,0.7355,0.0578,0.675
322,-35.7454,-36.0899,0.047,0.0111,-0.0426,0.999
323,-35.6914,-43.457,0.0584,0.0085,-0.0172,0.9998
324,-31.5287,-48.7264,0.0796,0.0015,0.045,0.999
325,-29.679,-49.7826,0.0748,-0.0147,0.0165,0.9998
326,-36.6184,-42.9288,0.0767,0.1257,-0.0894,0.988
327,-35.1726,-44.8268,0.0998,0.1579,0.2596,0.9527
328,-34.2158,-47.209,0.0717,0.0257,-0.0137,0.9996
329,-37.1045,-38.1419,0.0459,0.0054,-0.0572,0.9983
330,-37.3234,-38.4996,0.0531,0.0344,-0.1921,0.9808
331,-37.5247,-42.41,0.0553,0.0013,-0.0475,0.9989
332,-27.7271,-50.8962,0.0711,0.0229,-0.0541,0.9983
333,-26.7901,-51.377,0.0655,0.0631,-0.0231,0.9977
334,-24.5044,-49.8314,0.0715,0.0267,-0.0179,0.9995
335,-28.6436,-50.3364,0.0662,0.0203,-0.0764,0.9969
336,-34.9501,-44.3182,0.0689,0.1743,0.1697,0.97
337,-36.0463,-46.1809,0.0623,0.0379,-0.0486,0.9981
338,-35.1284,-46.6937,0.0667,0.0425,-0.0351,0.9985
339,-37.0728,-45.5581,0.0587,-0.0225,-0.0335,0.9992
340,-25.8923,-51.9036,0.0706,0.0252,-0.0767,0.9967
341,-38.0008,-45.0234,0.0612,0.0312,0.0031,0.9995
342,-34.9251,-50.1903,0.0747,0.0614,0.0031,0.9981
343,-33.1658,-51.2064,0.0831,0.0121,-0.0291,0.9995
344,-32.2412,-51.7218,0.0785,-0.0295,-0.0023,0.9996
345,-30.2989,-52.8257,0.0727,0.0163,-0.0636,0.9978
346,-37.6957,-48.6759,0.0639,0.0394,-0.0708,0.9967
347,-35.8486,-49.6794,0.0727,0.0392,-0.0523,0.9979
348,-29.3474,-53.3618,0.0733,0.023,-0.0369,0.9991
349,-38.9005,-44.5046,0.0509,-0.0067,-0.0156,0.9999
350,-39.2566,-41.4089,0.0754,0.1443,-0.0664,0.9873
351,-38.707,-48.0462,0.0603,0.0063,0.0511,0.9987
352,-31.3305,-52.2384,0.0716,-0.0012,-0.0136,0.9999
353,-28.4287,-53.8625,0.0725,0.0651,-0.0286,0.9975
354,-39.4207,-48.8815,0.0581,-0.2383,0.3218,0.9163
355,-36.7635,-49.1774,0.0682,0.0865,-0.0154,0.9961
356,-37.4814,-52.1601,0.0682,0.0633,-0.0245,0.9977
357,-34.795,-53.6974,0.0856,0.0052,-0.0422,0.9991
358,-33.868,-54.2016,0.0874,0.0027,0.0053,1.0
359,-32.957,-54.7181,0.0782,-0.0184,0.0109,0.9998
360,-31.9405,-55.2877,0.0712,0.0329,-0.0616,0.9976
361,-27.5233,-54.3949,0.0659,0.0818,-0.0074,0.9966
